lot_id,die_attach_temp,bond_force,epoxy_volume,die_attach_void_percent,cure_temp,cure_time,cure_ramp_rate,mold_temp,mold_pressure,transfer_speed,vacuum_level,mold_void_count,pmc_temp,pmc_time,cooling_rate,warpage_mm,floor_life_hours,moisture_content,reflow_peak_temp,reflow_ramp_rate,time_above_liquidus,da_temp_zone,bond_force_zone,epoxy_volume_zone,da_void_zone,cure_temp_zone,cure_time_zone,cure_ramp_zone,mold_temp_zone,mold_pressure_zone,transfer_speed_zone,vacuum_zone,mold_void_zone,pmc_temp_zone,pmc_time_zone,cooling_zone,warpage_zone,floor_life_zone,moisture_zone,peak_temp_zone,reflow_ramp_zone,tal_zone,da_temp_risk,bond_force_risk,epoxy_volume_risk,da_void_risk,cure_temp_risk,cure_time_risk,cure_ramp_risk,mold_temp_risk,mold_pressure_risk,transfer_speed_risk,vacuum_risk,mold_void_risk,pmc_temp_risk,pmc_time_risk,cooling_risk,warpage_risk,floor_life_risk,moisture_risk,peak_temp_risk,reflow_ramp_risk,tal_risk,die_attach_score,die_attach_cure_score,moulding_score,pmc_score,reflow_score,die_attach_class,die_attach_cure_class,moulding_class,pmc_class,reflow_class,overall_risk,overall_class,danger_trigger_stage,final_action
LOT_0011,153.43,23.41,107.63,6.61,162.48,71.38,3.84,173.58,76.12,1.02,0.96,0,174.8,60.97,3.29,0.167,25.54,0.088,239.28,3.04,68.09,Normal,Warning,Warning,Warning,Normal,Warning,Normal,Normal,Normal,Normal,Danger,Normal,Normal,Warning,Normal,Warning,Normal,Normal,Normal,Warning,Normal,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.4,0.175,0.15,0.3,0.1,Medium,Low,Low,Low,Low,0.214,Low,Moulding,Immediate Hold / Halt
LOT_0012,151.3,20.14,94.79,12.58,170.07,29.62,5.28,171.03,86.82,0.84,0.48,4,176.06,68.39,3.5,0.042,8.32,0.515,248.24,1.49,117.54,Normal,Normal,Warning,Danger,Warning,Danger,Normal,Normal,Warning,Warning,Normal,Warning,Warning,Warning,Normal,Normal,Normal,Danger,Normal,Normal,Normal,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.525,0.325,0.2,0.2,Medium,Medium,Low,Low,Low,0.34,Medium,Die Attach,Immediate Hold / Halt
LOT_0013,162.73,23.1,87.85,2.06,175.14,49.38,5.67,179.65,72.58,0.99,0.0,0,168.23,67.54,6.45,0.0,13.44,0.27,256.53,1.35,124.89,Danger,Warning,Danger,Normal,Warning,Warning,Normal,Normal,Warning,Normal,Danger,Normal,Normal,Warning,Warning,Normal,Normal,Normal,Warning,Normal,Warning,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.35,0.25,0.2,0.225,Medium,Medium,Low,Low,Low,0.301,Low,Die Attach,Immediate Hold / Halt
LOT_0014,150.06,17.06,103.7,4.8,160.2,61.05,4.42,175.68,85.3,1.32,0.25,8,156.34,87.27,4.88,0.102,9.06,0.219,241.06,2.03,115.49,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Warning,Danger,Warning,Danger,Warning,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.625,0.3,0.0,Low,Low,Medium,Low,Low,0.221,Low,Moulding,Immediate Hold / Halt
LOT_0015,152.14,17.92,107.2,5.23,171.5,69.44,3.76,171.64,85.98,1.12,0.5,2,178.94,79.35,4.82,0.064,18.78,0.415,251.6,3.15,129.16,Normal,Warning,Warning,Warning,Warning,Normal,Normal,Normal,Warning,Warning,Normal,Normal,Warning,Warning,Normal,Normal,Normal,Warning,Warning,Warning,Warning,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4,0.175,0.175,0.2,0.425,Medium,Low,Low,Low,Medium,0.286,Low,None,Continue
LOT_0016,150.13,22.05,97.52,5.3,163.96,61.45,5.89,170.09,96.74,0.8,0.26,5,175.54,101.23,4.94,0.079,2.47,0.261,239.58,3.28,85.59,Normal,Warning,Normal,Warning,Normal,Normal,Normal,Normal,Danger,Warning,Warning,Warning,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Warning,Normal,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.5,0.2,0.1,Low,Low,Medium,Low,Low,0.24,Low,Moulding,Immediate Hold / Halt
LOT_0017,145.05,19.04,103.3,1.75,158.42,63.66,5.37,171.96,76.23,1.05,0.21,0,164.97,86.16,4.47,0.198,44.58,0.226,244.85,1.7,89.44,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Warning,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.075,0.3,0.0,Low,Low,Low,Low,Low,0.09,Low,None,Continue
LOT_0018,148.27,20.97,93.38,6.08,177.26,58.37,5.6,179.14,76.79,1.04,0.5,2,164.59,90.44,4.75,0.196,47.02,0.573,238.86,3.2,95.5,Normal,Normal,Warning,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Danger,Normal,Warning,Normal,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.3,0.175,0.0,0.3,0.3,Low,Low,Low,Low,Low,0.206,Low,Solder Reflow,Immediate Hold / Halt
LOT_0019,163.14,17.58,93.28,1.6,148.01,52.11,3.86,175.9,82.73,1.38,0.69,0,163.71,98.85,2.02,0.227,52.31,0.18,231.29,3.58,86.56,Danger,Warning,Warning,Normal,Danger,Normal,Normal,Normal,Normal,Danger,Normal,Normal,Warning,Normal,Warning,Danger,Warning,Normal,Normal,Danger,Normal,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.4,0.35,0.15,0.6,0.275,Medium,Medium,Low,Medium,Low,0.329,Low,Die Attach,Immediate Hold / Halt
LOT_0020,157.43,15.22,95.2,4.02,165.38,53.25,5.93,168.59,78.86,1.02,0.6,4,162.13,62.39,5.92,0.107,6.04,0.483,245.93,3.44,92.03,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Warning,Warning,Warning,Warning,Normal,Warning,Normal,Warning,Normal,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.2,0.0,0.25,0.5,0.2,Low,Low,Low,Medium,Low,0.227,Low,None,Continue
LOT_0021,162.36,25.27,98.01,7.89,170.16,80.53,3.55,179.12,88.47,0.65,0.26,0,168.11,102.92,6.25,0.086,63.09,0.043,231.37,2.46,101.52,Danger,Danger,Normal,Warning,Warning,Warning,Normal,Normal,Warning,Danger,Warning,Normal,Normal,Warning,Warning,Normal,Warning,Normal,Normal,Normal,Normal,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.35,0.325,0.2,0.075,Medium,Medium,Low,Low,Low,0.303,Low,Die Attach,Immediate Hold / Halt
LOT_0022,149.8,13.8,99.29,0.0,170.36,65.5,3.59,171.92,71.53,0.99,0.69,0,173.53,80.46,2.81,0.071,0.0,0.167,235.42,4.07,91.06,Normal,Danger,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Danger,Normal,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.175,0.1,0.1,0.2,Low,Low,Low,Low,Low,0.156,Low,Die Attach,Immediate Hold / Halt
LOT_0023,145.8,20.64,99.1,3.12,169.91,71.36,4.2,171.55,77.8,0.54,0.2,6,181.51,85.52,4.86,0.105,97.89,0.418,243.98,1.74,41.81,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Danger,Danger,Danger,Warning,Normal,Normal,Warning,Danger,Warning,Normal,Normal,Normal,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.175,0.6,0.3,0.25,Low,Low,Medium,Low,Low,0.284,Low,Moulding,Immediate Hold / Halt
LOT_0024,151.22,17.73,88.62,1.41,156.35,85.31,6.32,174.95,91.84,1.02,0.33,7,173.77,71.33,3.71,0.01,0.0,0.389,260.28,1.38,106.89,Normal,Warning,Danger,Normal,Warning,Warning,Warning,Normal,Danger,Normal,Warning,Danger,Normal,Warning,Normal,Normal,Normal,Warning,Danger,Normal,Normal,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.3,0.5,0.575,0.1,0.35,Low,Medium,Medium,Low,Medium,0.381,Medium,Die Attach,Immediate Hold / Halt
LOT_0025,146.1,18.54,95.26,0.54,165.39,47.54,5.41,174.7,78.09,0.82,0.38,4,173.51,72.4,4.15,0.14,0.0,0.332,239.7,2.96,67.1,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Warning,Warning,Normal,Warning,Normal,Warning,Normal,Warning,Normal,Normal,Normal,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.175,0.3,0.3,0.1,Low,Low,Low,Low,Low,0.171,Low,None,Continue
LOT_0026,139.17,15.12,100.38,5.04,157.77,69.58,2.51,174.6,70.31,0.87,0.51,0,167.31,108.11,3.13,0.147,0.0,0.329,256.53,0.52,66.09,Danger,Warning,Normal,Warning,Warning,Normal,Warning,Normal,Warning,Warning,Normal,Normal,Normal,Warning,Normal,Warning,Normal,Warning,Warning,Normal,Normal,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.325,0.175,0.3,0.225,Medium,Low,Low,Low,Low,0.294,Low,Die Attach,Immediate Hold / Halt
LOT_0027,153.46,19.39,102.97,1.58,165.69,57.66,6.75,176.53,82.7,0.92,0.4,1,172.76,82.42,4.43,0.246,44.91,0.201,254.61,2.17,28.86,Normal,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Danger,Normal,Normal,Warning,Normal,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.15,0.0,0.4,0.125,Low,Low,Low,Medium,Low,0.114,Low,Post-Mould Cure,Immediate Hold / Halt
LOT_0028,143.95,14.39,97.19,4.07,178.41,64.9,4.67,179.98,62.31,1.05,0.65,0,178.01,96.09,3.38,0.131,78.5,0.277,246.99,2.13,64.5,Warning,Danger,Normal,Normal,Warning,Normal,Normal,Normal,Danger,Normal,Normal,Normal,Warning,Normal,Normal,Warning,Danger,Normal,Normal,Normal,Normal,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3,0.175,0.2,0.3,0.15,Low,Low,Low,Low,Low,0.219,Low,Die Attach,Immediate Hold / Halt
LOT_0029,154.98,17.43,100.57,2.09,168.83,65.0,6.56,171.94,77.84,0.8,0.41,3,175.3,73.4,5.3,0.188,33.92,0.532,238.81,1.5,36.64,Normal,Warning,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Warning,Warning,Warning,Warning,Warning,Normal,Danger,Normal,Normal,Normal,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.1,0.15,0.225,0.5,0.2,Low,Low,Low,Medium,Low,0.224,Low,Solder Reflow,Immediate Hold / Halt
LOT_0030,158.98,21.96,99.56,5.12,156.0,96.69,5.19,175.66,85.81,1.1,0.54,0,173.3,123.88,6.02,0.207,11.73,0.102,243.99,2.54,122.83,Warning,Normal,Normal,Warning,Warning,Danger,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Danger,Warning,Danger,Normal,Normal,Normal,Normal,Warning,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.3,0.525,0.1,0.7,0.1,Low,Medium,Low,High,Low,0.294,Low,Die Attach Cure,Immediate Hold / Halt
LOT_0031,139.85,24.59,98.74,2.29,156.9,35.18,6.23,175.44,69.68,0.74,0.43,7,168.18,62.94,3.63,0.058,0.0,0.242,243.15,3.06,145.47,Danger,Warning,Normal,Normal,Warning,Danger,Warning,Normal,Warning,Warning,Normal,Danger,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Warning,Warning,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.675,0.475,0.1,0.2,Low,High,Medium,Low,Low,0.345,Medium,Die Attach,Immediate Hold / Halt
LOT_0032,156.76,19.19,91.15,14.29,165.47,60.21,4.96,176.19,78.85,0.89,0.39,2,166.2,77.17,4.16,0.06,60.1,0.0,253.73,3.5,27.8,Warning,Normal,Warning,Danger,Normal,Normal,Normal,Normal,Normal,Warning,Warning,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Warning,Warning,Normal,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.6,0.0,0.15,0.1,0.3,Medium,Low,Low,Low,Low,0.248,Low,Die Attach,Immediate Hold / Halt
LOT_0033,147.94,18.89,88.74,0.89,156.12,86.28,6.4,182.63,85.77,0.77,0.4,3,161.45,102.83,3.64,0.05,41.06,0.317,242.11,3.43,57.57,Normal,Normal,Danger,Normal,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Normal,Normal,Normal,Warning,Normal,Warning,Normal,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.2,0.5,0.5,0.2,0.2,Low,Medium,Medium,Low,Low,0.32,Low,Die Attach,Immediate Hold / Halt
LOT_0034,153.7,21.78,97.52,5.3,154.99,73.86,4.72,171.86,88.39,0.86,0.22,0,174.24,66.95,6.63,0.0,64.71,0.282,244.23,2.06,101.97,Normal,Normal,Normal,Warning,Warning,Warning,Normal,Normal,Warning,Warning,Warning,Normal,Normal,Warning,Warning,Normal,Warning,Normal,Normal,Normal,Normal,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.35,0.25,0.2,0.075,Low,Medium,Low,Low,Low,0.204,Low,None,Continue
LOT_0035,149.77,23.31,100.91,4.6,162.09,59.15,5.46,164.74,69.21,1.15,0.53,1,170.13,96.26,3.19,0.018,28.7,0.103,248.27,1.14,120.87,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Danger,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Warning,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.375,0.0,0.1,Low,Low,Medium,Low,Low,0.139,Low,Moulding,Immediate Hold / Halt
LOT_0036,152.84,20.77,107.86,10.66,173.11,32.39,3.08,171.25,80.21,1.1,0.35,3,164.71,78.99,1.89,0.006,0.0,0.104,253.43,1.74,168.97,Normal,Normal,Warning,Danger,Warning,Danger,Normal,Normal,Normal,Warning,Warning,Warning,Warning,Warning,Danger,Normal,Normal,Normal,Warning,Normal,Danger,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.525,0.3,0.4,0.325,Medium,Medium,Low,Medium,Low,0.395,Medium,Die Attach,Immediate Hold / Halt
LOT_0037,152.96,20.55,93.13,6.8,160.39,61.83,8.84,174.42,89.19,0.86,0.49,7,165.61,122.62,5.06,0.035,39.18,0.396,249.97,1.24,68.19,Normal,Normal,Warning,Warning,Normal,Normal,Danger,Normal,Warning,Warning,Normal,Danger,Normal,Danger,Warning,Normal,Normal,Warning,Normal,Normal,Normal,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.3,0.475,0.3,0.1,Low,Low,Medium,Low,Low,0.294,Low,Die Attach Cure,Immediate Hold / Halt
LOT_0038,148.51,19.78,104.97,4.71,154.32,65.7,5.92,178.36,88.65,1.17,0.59,2,158.37,97.73,4.31,0.102,0.0,0.088,253.43,2.47,110.45,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Warning,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Normal,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.175,0.175,0.3,0.125,Low,Low,Low,Low,Low,0.146,Low,None,Continue
LOT_0039,150.17,20.09,107.51,1.94,165.77,53.07,4.35,173.14,81.78,0.9,0.75,0,168.69,82.08,6.17,0.096,48.76,0.027,247.14,3.21,92.47,Normal,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Normal,Warning,Normal,Normal,Warning,Normal,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.1,0.0,0.075,0.1,0.175,Low,Low,Low,Low,Low,0.098,Low,None,Continue
LOT_0040,156.39,18.45,111.27,13.2,162.1,53.32,7.18,184.48,75.82,0.92,0.44,0,163.57,71.93,2.85,0.077,29.62,0.483,237.01,3.29,83.58,Warning,Normal,Danger,Danger,Normal,Normal,Warning,Warning,Normal,Normal,Normal,Normal,Warning,Warning,Warning,Normal,Normal,Warning,Normal,Warning,Normal,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.7,0.15,0.1,0.3,0.2,High,Low,Low,Low,Low,0.283,Low,Die Attach,Immediate Hold / Halt
